Episode 439: 1000 time steps, total rewards -97.00
Episode 440: 1000 time steps, total rewards -102.00
Episode 441: 1000 time steps, total rewards -97.00
Episode 442: 1000 time steps, total rewards -99.00
Episode 443: 1000 time steps, total rewards -96.00
Episode 444: 1000 time steps, total rewards -96.00
Episode 445: 1000 time steps, total rewards -100.00
Episode 446: 1000 time steps, total rewards -100.00
Episode 447: 1000 time steps, total rewards -102.00
Episode 448: 1000 time steps, total rewards -100.00
Episode 449: 1000 time steps, total rewards -99.00
Episode 450: 1000 time steps, total rewards -100.00
Episode 451: 1000 time steps, total rewards -100.00
Episode 452: 1000 time steps, total rewards -100.00
Episode 453: 1000 time steps, total rewards -100.00
Episode 454: 1000 time steps, total rewards -94.00
Episode 455: 1000 time steps, total rewards -97.00
Episode 456: 1000 time steps, total rewards -97.00
Episode 457: 1000 time steps, total rewards -100.00
Episode 458: 1000 time steps, total rewards -102.00
Episode 459: 1000 time steps, total rewards -100.00
Episode 460: 1000 time steps, total rewards -100.00
Episode 461: 1000 time steps, total rewards -100.00
Episode 462: 1000 time steps, total rewards -102.00
Episode 463: 1000 time steps, total rewards -102.00
Episode 464: 1000 time steps, total rewards -102.00
Episode 465: 1000 time steps, total rewards -97.00
Episode 466: 1000 time steps, total rewards -97.00
Episode 467: 1000 time steps, total rewards -100.00
Episode 468: 1000 time steps, total rewards -100.00
Episode 469: 1000 time steps, total rewards -100.00
Episode 470: 1000 time steps, total rewards -100.00
Episode 471: 1000 time steps, total rewards -104.00
Episode 472: 1000 time steps, total rewards -97.00
Episode 473: 1000 time steps, total rewards -97.00
Episode 474: 1000 time steps, total rewards -100.00
Episode 475: 1000 time steps, total rewards -100.00
Episode 476: 1000 time steps, total rewards -99.00
Episode 477: 1000 time steps, total rewards -99.00
Episode 478: 1000 time steps, total rewards -100.00
Episode 479: 1000 time steps, total rewards -102.00
Episode 480: 1000 time steps, total rewards -97.00
Episode 481: 1000 time steps, total rewards -97.00
Episode 482: 1000 time steps, total rewards -100.00
Episode 483: 1000 time steps, total rewards -102.00
Episode 484: 1000 time steps, total rewards -102.00
Episode 485: 1000 time steps, total rewards -100.00
Episode 486: 1000 time steps, total rewards -94.00
Episode 487: 1000 time steps, total rewards -102.00
Episode 488: 1000 time steps, total rewards -97.00
Episode 489: 1000 time steps, total rewards -97.00
Episode 490: 1000 time steps, total rewards -104.00
Episode 491: 1000 time steps, total rewards -102.00
Episode 492: 1000 time steps, total rewards -100.00
Episode 493: 1000 time steps, total rewards -100.00
Episode 494: 1000 time steps, total rewards -97.00
Episode 495: 1000 time steps, total rewards -102.00
Episode 496: 1000 time steps, total rewards -97.00
Episode 497: 1000 time steps, total rewards -100.00
Episode 498: 1000 time steps, total rewards -94.00
Episode 499: 1000 time steps, total rewards -100.00
Episode 500: 1000 time steps, total rewards -100.00
Episode 501: 1000 time steps, total rewards -97.00
Episode 502: 1000 time steps, total rewards -100.00
Episode 503: 1000 time steps, total rewards -100.00
Episode 504: 1000 time steps, total rewards -94.00
Episode 505: 1000 time steps, total rewards -100.00
Episode 506: 1000 time steps, total rewards -99.00
Episode 507: 1000 time steps, total rewards -102.00
Episode 508: 1000 time steps, total rewards -100.00
Episode 509: 1000 time steps, total rewards -100.00
Episode 510: 1000 time steps, total rewards -100.00
Episode 511: 1000 time steps, total rewards -102.00
Episode 512: 1000 time steps, total rewards -102.00
Episode 513: 1000 time steps, total rewards -100.00
Episode 514: 1000 time steps, total rewards -102.00
Episode 515: 1000 time steps, total rewards -102.00
Episode 516: 1000 time steps, total rewards -99.00
Episode 517: 1000 time steps, total rewards -100.00
Episode 518: 1000 time steps, total rewards -97.00
Episode 519: 1000 time steps, total rewards -102.00
Episode 520: 1000 time steps, total rewards -97.00
Episode 521: 1000 time steps, total rewards -100.00
Episode 522: 1000 time steps, total rewards -100.00
Episode 523: 1000 time steps, total rewards -102.00
Episode 524: 1000 time steps, total rewards -97.00
Episode 525: 1000 time steps, total rewards -102.00
Episode 526: 1000 time steps, total rewards -104.00
Episode 527: 1000 time steps, total rewards -100.00
Episode 528: 1000 time steps, total rewards -99.00
Episode 529: 1000 time steps, total rewards -102.00
Episode 530: 1000 time steps, total rewards -99.00
Episode 531: 1000 time steps, total rewards -100.00
Episode 532: 1000 time steps, total rewards -100.00
